id,name,description,effect,requirement,type,weapon_type,buy_price,sell_price,market_value,circulation,image,tradeable
1346,Magnifying Glass,"Capable of harnessing the power of the sun to destroy insects, a magnifying glass can also be used to make small things look bigger. Such acts of sorcery are possible due to the object's convex lens, which is capable of bending light to its whim. This bending of light, known as refraction, results in the appearance of an enlarged image when viewed through the lens, making the object look closer or bigger than it actually is. Placing one magnifying glass over a reversed magnifying glass is known to have fractured the fabric of space-time on at least twelve occasions.",Improves Forgery crime exp & skill gains by 5%.,,Enhancer,,0,0,1640382,62044,https://www.torn.com/images/items/1346/large.png,TRUE
1347,Certificate Seal,"Are you hoping to become a lawyer but you're too lazy to complete all of the educations? Hoping to trick Adobe into giving you a 75% student discount? Then use this authentic but actually not authentic-at-all certificate seal to put the finishing touch to your forged Bachelor of Law degree certificate. Pre-stamped with the sigil of Torn City College, this seal can be fixed to any certificate to give it the legitimate feel of a genuine diploma. ",Used during the production of forgery projects.,,Material,,0,0,385679,298977,https://www.torn.com/images/items/1347/large.png,TRUE
1348,Aluminum Plate,"Aluminum, also known as aluminium, is the third-most abundant element within Earth's crust, but is rarely found within the crust of pizzas, where cheese and hot dogs are more plentiful. Lightweight, strong, and resistant to corrosion, aluminum is commonly used in the making of soda cans and automobiles. This metal was first isolated in its pure form in the 19th Century, and it is believed that if the Romans had discovered aluminum in the time before Christ, they might've used it to make his cross all shiny and stuff.",Used during the production of forgery projects.,,Material,,1125,0,5349,2001626,https://www.torn.com/images/items/1348/large.png,TRUE
1349,License Plate,"License plates serve as a source of identification for vehicles, displaying a row of letters and numbers unique to that vehicle. As of 2024, the world's most expensive license plate was P7, bought in Dubai for $15 million. In Torn, the record stands at $8 million for the license E3TMYA55.",,,Other,,0,95000,94043,1243720,https://www.torn.com/images/items/1349/large.png,TRUE
1350,Police Badge,"A Police Officer's badge acts as a symbol of their authority alongside their uniform, sidearm, and hostile demeanor toward minorities. The badges assigned to the Torn City Police Department are made of brass. Easily bent and tarnished, Torn's police officers are often seen chewing on their badges during periods of downtime.","Required by the Imitator and Negotiator roles during the Leave No Trace scenario.
Required by the Imitator role during the Best of the Lot scenario.",,Tool,,0,230000,256045,198092,https://www.torn.com/images/items/1350/large.png,TRUE
1351,Flashlight,"This flashlight uses a powerful LED to project light up to 200 meters and has a candela rating of 20,000. Its heavy-duty nature means it can withstand being dropped from a height, and can even be used as a glass breakage tool in an emergency. Flashlights are similar in many ways to the Fleshlight, as they are often used in darkened rooms to assist the user in the achievement of clarity. ",Improves Burglary crime exp & skill gains by 5%.,,Enhancer,,0,0,68021,128614,https://www.torn.com/images/items/1351/large.png,TRUE
1352,Collectible Cache,"This cache contains one of hundreds of collectible items, including those that have been made for staff in order to make up for the fact that they have to deal with Torn's citizens on a daily basis. Contents may include all sorts of colorful and random items, from a WarPaint Kit or Case of Whiskey through to a Black Unicorn or a... Leukaemia Teddy Bear? Jesus Christ.",,,Supply Pack,,0,0,0,3,https://www.torn.com/images/items/1352/large.png,TRUE
1353,Megaphone,"A megaphone can be used to raise your voice to a higher decibel level to help you to communicate effectively over distance or noise. Also known as Bullhorns, these devices are useful when coordinating groups, making announcements, leading events or protests, and ensuring vital information is heard clearly during emergencies or public gatherings. This particular megaphone has two loudness settings: American, and off.",Improves Hustling crime exp & skill gains by 5%.,,Enhancer,,0,0,112595,82944,https://www.torn.com/images/items/1353/large.png,TRUE
1354,Office Chair,"When the modern trend for standing desks dies out, coders and call handlers beg for forgiveness from the humble office chair. Welcoming your buttocks like a pair of old friends, this ergonomically designed piece of furniture provides comfort, reassurance, and support during those long lonely days staring at a screen. Twenty years from now you'll be barely able to walk, but the memories of this chair's gentle embrace will persist long after your spine gives out.",Improves Cracking crime exp & skill gains by 5%.,,Enhancer,,0,0,6786875,52047,https://www.torn.com/images/items/1354/large.png,TRUE
1355,Vanguard Respirator,"The Vanguard headpiece's sleek ergonomic design balances maximum protection with minimal weight. Its wide angle visor facilitates rapid target identification with its expanded field of view. To counter chemical assaults, the integrated tactical respirator efficiently neutralizes pepper spray and tear gas, safeguarding the wearer from airborne adversaries.","Immunity to Nerve Gas, Tear Gas, and Pepper Spray.",,Defensive,,0,0,0,435,https://www.torn.com/images/items/1355/large.png,TRUE
1356,Vanguard Body,"Built with dexterity in mind, the Vanguard body's cutting-edge bracing system amplifies the soldier's natural agility, granting them the increased fluidity of motion that often proves crucial during close-quarter combat situations. An outer layer of Spectra Shield composite material serves as protection against ballistic threats while helping to maintain a feather-light profile.",,,Defensive,,0,0,0,493,https://www.torn.com/images/items/1356/large.png,TRUE
1357,Vanguard Pants,"The Vanguard Pants use adaptive, state-of-the-art braces to augment the wearer's inherent dexterity and take it to new levels. This underlying supportive structure enables combatants to perform complex movements quicker and with reduced risk of joint and ligament damage. Strategically placed padding sits beneath a thin layer of Spectra Shield fabric to ensure further protection from unexpected encounters with gunfire or the ground.",,,Defensive,,0,0,0,472,https://www.torn.com/images/items/1357/large.png,TRUE
1358,Vanguard Boots,"Elite athleticism meets tactical engineering in the design of the Vanguard Boots. Developed in collaboration with top sprinters and soccer players, this footwear adapts to the wearer's gait to deliver supreme orthotic support that amplifies agility and protects against sprains. Their thick yet lightweight sole provides phenomenal levels of traction when running or turning. And the boot's breathable yet durable upper ensures that the feet remain comfortable and shielded from environmental hazards.",,,Defensive,,0,0,1661666667,463,https://www.torn.com/images/items/1358/large.png,TRUE
1359,Vanguard Gloves,"Precision and protection are the hallmarks of the Vanguard Gloves, meticulously engineered to bolster digital dexterity without impinging on the wearer's marksmanship abilities. Featuring a thickened outer shell to protect the dorsum and appendages, these gloves retain a tactile, flexible palm to ensure the seamless handling of both firearms and melee weapons.",,,Defensive,,0,0,0,440,https://www.torn.com/images/items/1359/large.png,TRUE
1360,Evil Winnie Mask '23,"Known to prefer the taste of spinal cord fluid over fresh honey, this evil variant of the beloved Winnie-the-Pooh is a far cry from A.A. Milne's original creation. A character described as ""stuffed with fluff"" is now filled with insatiable hatred. The bear's soft, golden fur has been replaced with a wet, fleshy-like material that closely resembles human skin. And his iconic red shirt is now white, albeit stained red having been soaked with the blood of his playmates, a grim reminder of Eeyore's horrible demise. Oh bother, indeed.",,,Clothing,,0,0,0,250,https://www.torn.com/images/items/1360/large.png,TRUE
1361,Dog Treats,"Once, in the first age of men, geese were man's best friend. Alas, our winged brothers turned against us upon our discovery of fire, claiming it was within God's power alone to master the mighty flame. With their beaks put out of joint, humans were forced to make do with their second choice of accomplice, the humble canine. Today, pups and pooches are pampered beyond belief, with all manner of supplements, and treatments available to keep our bitches happy. This bag of dog treats can be used to beckon, tempt, or distract any dog on the planet. And should you fail, you will know that dogs too have turned their hairy backs on us, with the indomitable hedgehog next in line for our favors.",Used by the Kidnapper role during the Pet Project scenario.,,Material,,25,15,1792,1037871,https://www.torn.com/images/items/1361/large.png,TRUE
1362,Net,"Not to be confused with the inter-net, this regular net consists of a sturdy plastic mesh fixed to the end of an adjustable pole, and can be used to capture everything from cats and dogs through to fish, babies, fish babies, small horses, and footballs. How big exactly is this net, we hear you ask? It's precisely as large as whatever you're trying to catch.",Required by the Muscle role during the Pet Project scenario.,,Tool,,0,25,2771240,52053,https://www.torn.com/images/items/1362/large.png,TRUE
1363,Ipecac Syrup,"Rollercoasters, spinning in circles, a bad gyro from Kebabish Palace, the only takeout in town with a negative hygiene rating. There are many things that can make a person vomit, but none so convenient as Ipecac Syrup. Extracted from the root of the Carapichea ipecacuanha plant, this swift acting emetic is guaranteed to tempt your lunch back up your gullet within seconds. Watch in nauseous amazement as beans, soup, and precious bolognese magically reappear before your eyes and down your shirt with a just quick swig of syrup of ipecac.",Increases hospital time to 60-90 mins. Increases medical cooldown by 30 mins.,,Medical,,0,0,49448,2747987,https://www.torn.com/images/items/1363/large.png,TRUE
1364,Yorkshire Pudding,"Made from a simple batter of flour, eggs, and milk or water, the Yorkshire Pudding is a staple of the British Sunday Roast™. When poured into a mold and baked in a hot oven, the batter rises and transforms into a light, crisp, golden brown puff that can be filled with gravy, mashed potato, meat, or preferably all three. The recipe for this iconic item originated in a recipe book called ""The Whole Duty of a Woman,"" which was published in 1737. In this book, the Yorkshire Pudding was referred to as a ""dripping pudding,"" a term which is now used as a pejorative for any northern Englishman who wears a coat in wintertime.",,,Collectible,,0,0,0,50,https://www.torn.com/images/items/1364/large.png,TRUE
1365,Chemistry Set,"This chemistry set unlocks the mysteries of the world, offering fun for ages 3 and up. It's similar to the set Grif used in his attempt to create a 'cure for stupid.' Unfortunately, this cure had minimal effect on Torn's citizens, who seemed immune to its effects. To this day, they continue to troll the forums and complain about Torn infringing on their rights.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/1365/large.png,TRUE
1366,Glitter Pickle,"The harbinger of the new admin panel, known as the glitter pickle, is the perfect example of what happens when you solicit user feedback for planned features. Two perfectly decent ideas, a juicy dill pickle and a handful of festive glitter, have been combined to create something that is less than the sum of its parts. Wrap your mouth around it, what's the worst that could happen?",,,Collectible,,0,0,0,49,https://www.torn.com/images/items/1366/large.png,TRUE
1367,Turkey Head '23,"The turkey's native habitat is North America, and not, as you might expect, the Anatolian, continent-straddling republic of the same name. Originally a feature of the American Thanksgiving celebration, the consumption of a turkey at Christmas was popularized by Charles Dickens' ""A Christmas Carol,"" in which Michael Caine makes Kermit the Frog beg for scraps to feed his dying child. Why not commemorate this wholesome yuletide tale by sporting this rubber recreation of the turkey, the planet's driest white meat since Mitch Hedberg.",,,Clothing,,0,0,0,250,https://www.torn.com/images/items/1367/large.png,TRUE
1368,Rudolph's Nose,"As a calf, Rudolph the Red Nosed Reindeer was teased mercilessly by the other reindeer for his bright red nose. Had this tale been real and Rudolph were born today, these actions would likely have resulted in old maroon-conk returning to reindeer school one frosty morning with a loaded AR-15. As it happens, the tale is merely fictional, and to celebrate Rudolph's triumph over bullying, we present you with this respectful recreation of his glowing iconic hooter. These wearable rubber noses are made from repurposed ball gags, with each one cleaned to a reasonable degree.",,,Clothing,,0,0,0,1000,https://www.torn.com/images/items/1368/large.png,TRUE
1369,Reindeer Antlers,"Harvested from the body of a live reindeer, the unethically sourced nature of these antlers will ensure that the wearer lands a spot right at the top of Santa's naughty list. Granted, a reindeer's antlers do grow back after being removed, so to preserve the immoral status of this product, each caribou is slapped in the face shortly after de-antleration has occurred.",,,Clothing,,0,0,0,1000,https://www.torn.com/images/items/1369/large.png,TRUE
1370,Chakra Stones,"This set of Chakra Stones comes in its own drawstring bag complete with a handy chart in case you need help deciding where to aim. If you see Shindig approaching while nonchalantly swinging this pouch, you can surely expect to have your third eye opened soon.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/1370/large.png,TRUE
1371,Toy Taco Truck,It's never too early to learn the tastiest craft of this generation. A near exact replica of the truck that Hoy uses to serve tacos to those he dislikes the least is the perfect gift for all of your loved ones looking to get into the art of the taco. Tacos sold separately.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/1371/large.png,TRUE
1372,Blacklight,Ampheromine's much-used blacklight is designed specifically for identifying suspicious fluids that might have otherwise been missed by the naked eye. This device has really seen some things - it may need therapy before long.,,,Collectible,,0,0,0,20,https://www.torn.com/images/items/1372/large.png,TRUE
1373,Robot Bug Toys,"If anything is to catch CloudJumper's attention outside of bug-collecting hours it has got to be his bug toys. Available in many colors and motifs, CJ has been known to race them for hours on end, testing for errors in their programming.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/1373/large.png,TRUE
1374,Master of The Universe,"A crystal orb fit for a ruler of galaxies. This legendary artifact is said to hold the secrets of the cosmos. Rumor has it that those who gander upon it shall attain the mastery of graphic design, summoning divine inspiration with each gaze into its otherworldly depths. Others speculate that it was the very consumption of the 'forbidden orb juice' which left Nyx [2236278] with a now unique blue pigmentation, distinguishing them from regular Tornizens.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/1374/large.png,TRUE
1375,Dilly the Dachshund,"Don't underestimate this little sausage - with a stare that could rival a mean girl's, Dilly knows how to leave an impression. Kelsie may be the helpful one in this city, but Dilly is the top dog. Her powerful stare means business. Be warned, Dilly's judgmental gaze spares no one, and earning her favor is a rare feat. May the odds be ever in your favor.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/1375/large.png,TRUE
1376,Cuticorn,"This Cuticorn spreads positivity and love around Torn. Because in a world where you can be anything, why not be kind.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/1376/large.png,TRUE
1377,Davy Jones' Footlocker,"Consigned to the bottom of the briny deep, Davy Jones' footlocker is said to contain the treasures of sailors lost at sea. Dead men tell no tales, but a WaywardSquid might be persuaded to share scuttlebutt on the mysterious contents within when plied with ale and pieces of eight.",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/1377/large.png,TRUE
1378,Origami Crane,"A beautiful origami crane. It is said that anyone who should fold one thousand cranes will be granted one wish from the Gods.
",,,Collectible,,0,0,0,20,https://www.torn.com/images/items/1378/large.png,TRUE
1379,ATM Key,"Crafted by Torn's finest forgers, this ATM key should (hopefully) grant access to one of the many cash machines scattered around Torn City. Made to measure from brass, this key's tubular design is tough to replicate, with a steady hand required to cut its intricate array of teeth. You'll likely get only one chance to use this key before the ATM's owners change the locks, so make it count!",Used by the Thief role during the Cash Me If You Can scenario.,,Tool,,0,195000,266331,97659,https://www.torn.com/images/items/1379/large.png,TRUE
1380,RF Detector,"Has your partner hidden an AirTag under your wheel arch? Are you concerned that the Bill Gates COVID vaccine has filled your colon with 5G tracking chips? Or maybe you've just stolen someone's dog and you want to know if it's microchipped. Whatever you're paranoid about, the RF Detector is your firm ally, as this device is capable of locating even the most deeply buried tracking devices. By analyzing radio frequencies, the RF Detector will help you hone in on bugs and wiretaps like a pro, thwarting the deep state's ability to surveil you and your activities.",Required by the Car Thief role during the Smoke and Wing Mirrors scenario.,,Tool,,0,0,2970596,48809,https://www.torn.com/images/items/1380/large.png,TRUE
1381,ID Badge,"This high-tech identification badge contains a customized RFID chip detailing the wearer's particulars. If such an item were programmed to display a certain person's details when scanned, it could theoretically be used to access high-security installations. However, the profiling system deployed in Torn City means you'll never be able to use the same chip twice, with each one inextricably linked to its specific profile upon being scanned and loaded into the database. This ID badge can also be fixed to a lanyard to achieve a cool ""dangling"" effect.","Used by the Thief role during the Cash Me if You Can scenario.
Used by the Imitator role during the Stacking the Deck scenario.
Used by the Imitator role during the Ace in the Hole scenario.
Used by the Imitator roles during the Gaslight the Way scenario.",,Tool,,0,105000,112551,421712,https://www.torn.com/images/items/1381/large.png,TRUE
1382,Lanyard,"Lanyards are the official accessory of the conference-attending professional. This item's patented Dangle technology allows the wearer to fix their ID badge around their neck, leaving their hands free to gesticulate and grope as desired. In the past, ID badges had to be pinned to the chest, a situation that often resulted in ruined clothes and nicked nips. But these concerns are a thing of the past thanks to mankind's invention of the trusty lanyard—a milestone that will surely be placed alongside the wheel, the internet, and cow's milk as one of our species' finest achievements.",Used during the production of forgery projects.,,Material,,20,15,645,2427558,https://www.torn.com/images/items/1382/large.png,TRUE
1383,DSLR Camera,"Unless you're a professional photographer, ownership of a digital single-lens reflex camera tells people you are either a pervert or you've run out of interesting hobbies. A picture is worth a thousand words, but your boring snaps of landscapes and lunch are of no value to anyone. Still, this high-resolution digital soul-catcher is a remarkable piece of kit, with its high-resolution sensor and interchangeable lenses totally lost on those who've bought it merely because it looks cool dangling around their necks.","Required by the Imitator role during the Smoke and Wing Mirrors scenario.
Required by the Imitator role during the Gone Fission scenario.",,Tool,,0,0,233614,68322,https://www.torn.com/images/items/1383/large.png,TRUE
1384,Dyno Sac,"On the rare occasion that Dyno'salam is defeated, conquerors vie for the right to plunge their fists deep into its cavernous, razor-lined cleft. Those who reach far enough may seize the most coveted prize—the aortal sac. This peculiar organ, with its intricate ventricular arrangement, is the closest thing to a heart this beast possesses. When owned by a mortal, the sac forges an ethereal symbiosis with its holder, purifying their essence to negate the unwanted influences of mind-altering substances.",Prevents all addiction and negative side effects caused by Drugs,,Enhancer,,0,0,0,4,https://www.torn.com/images/items/1384/large.png,FALSE
1385,Nol Cloachra,"The putrid, bubbling cloachra of Nol'dasaym is often overlooked among the spoils of battle. Yet, only a fool would discard such a valuable treasure, unsettling though it may be. In life, Nol's cloachra functions as an exit and entry point for nutrients, waste, and reproductive fluids. Upon the creature's demise, a bewildering phenomenon occurs: its bearer can imbibe consumables without actually consuming them. As such, this grotesque artifact is a prize among prizes, for never again need its owner frequent a bazaar for essential supplies.",Prevents consumables from being consumed upon use,,Enhancer,,0,0,0,4,https://www.torn.com/images/items/1385/large.png,FALSE
1386,Asmol Knuckle,"Carved directly from the titanfist of the colossal Asmol'yand, this formidable appendage initially seems too burdensome to carry. However, should one persist by shouldering this grotesque burden from the battlefield, immense destructive power shall be conferred upon them. Enemies that once proved taxing are effortlessly crushed, with the bearer able to infuse each strike with raw, elemental force for twice the usual effect.",Provides a passive damage bonus of +100%,,Enhancer,,0,0,0,4,https://www.torn.com/images/items/1386/large.png,FALSE
1387,Andyman's Keepsake,"With one of the sharpest analytical minds in Torn City, Andyman's deep dives into stocks, Halloweek, and weaponry have helped countless players sharpen their skills and test their limits with extreme data analysis. Many look to Andy for answers on all manner of topics, and if you've seen a graph, chart, or diagram in Torn, odds are he’s already created an even better one. In 2020, however, his statistical prowess faltered when the legendary shitposter DUDE defied expectations by reaching 100 attacks during Elimination, proving Andyman wrong. To commemorate this rare, unforgettable defeat, Andyman is forever symbolized by the napkin he consumed in forfeit.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1387/large.png,TRUE
1388,Baldr's Keepsake,"Baldr's Basic Advice is a must-read for newbies, a comprehensive guide to all things Torn City that has helped retain countless new players who might have otherwise moved on. Few would have survived the arduous grind to level 15 without his advice. For those who have, his guides on racing, levelling targets, and moneymaking have helped cement his status as one of the Torn community's most crucial assets. Based on this alone, we probably owe him hundreds of thousands in revenue, but instead, we honor Baldr's contributions with this big yellow book slapped on a plinth.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1388/large.png,TRUE
1389,CRLF's Keepsake,"While it's rare for anyone to be remembered fondly for their huge dumps, CRLF is an exception. Her massive data releases have kept our forums well-fed with fascinating information on everything from Halloweek top-hitters to the most improved racers, hence why our resident statistatrix is represented by a lengthy ream of paper. The long-running Fedded Archives she established have also become a rich source of drama over the years, often being the first place to break news of banned players and their scandalous activities. ",,,Collectible,,0,0,247633333,250,https://www.torn.com/images/items/1389/large.png,TRUE
1390,Proxima's Keepsake,"Proxima was conceived from a romantic tryst between a scientific calculator and a ream of graph paper. Known as the game’s most mathematical mind, his knack for dissecting mechanics and unraveling Chedburn’s intricate calculations has both delighted and unsettled the developers. When he’s not peeking behind the curtain, Prox puts his numerical prowess to more lucrative use as one of the casino’s all-time great poker players. But it’s surely Halloweek 2024 for which he’ll be best remembered, when he saved 9,999 treats and cursed the city by becoming the first player to summon the beast M’aol from his loamy slumber.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1390/large.png,TRUE
1391,mug's Keepsake,"Given their name and reputation as one of Torn's most prolific muggers, you might expect mug to be a player the weak should fear. And while that's true in combat, mug's authorship of the Fight Better Than a Top 100 guide has empowered many low-stat players to overcome stronger opponents. Still, it's their knack for pocket-pilfering that we commemorate here, fittingly represented by a ceramic mug stuffed with other people’s hard-earned cash—because when it comes to snatching wallets and cleaning out pockets, only a seasoned pro can teach you the ropes.",,,Collectible,,0,0,240000000,250,https://www.torn.com/images/items/1391/large.png,TRUE
1392,BambinaDuckie's Keepsake,"The sheer volume of prizes BambinaDuckie has distributed through her DuckPond Discord makes 'altruist' seem like an understatement—her long-running giveaways deserve a category of their own: philanthropist. As one of Torn's longest-serving players, the game will undoubtedly feel emptier when the DuckPond eventually dries up. At the time this description was written, such a prospect seems increasingly likely, as BambinaDuckie appears to be stepping away from Torn. Still, I imagine many will continue to flock to her watering hole, hoping Bambina returns one day to toss them a few crumbs of kindness—even though she’s already given more than a full loaf.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1392/large.png,TRUE
1393,bogie's Keepsake,"With a phenomenal depth of knowledge and an uncanny tolerance for fools, bogie was one of Torn's most respected players before the role of community manager was thrust upon him in 2018. Becoming the first person to perform this job full time, bogie transformed Torn by clamping down on its most toxic elements. Having earned more karma than anyone in Torn history, he’s learned one vital truth: arguing with idiots is pointless—a lesson he took to heart after winning the UK game show of the same name, where his prize was a wet kiss from Richard Osman, the only man tall enough to reach. Though the daily parade of morons may one day drive bogie to madness, there’s one thing they’ll never take from him—his 2019 Mr. Torn crown, earned with a little help from his newborn son.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1393/large.png,TRUE
1394,Evil-Duck's Keepsake,"Da wolv of Torn needs no introduction, but we'll give him one anyway. Evil-Duck was a popular forum poster who came alive during major events like the Island Wars and Elimination, OFTEN TAKING TO THE BOARDS TO SHARE HIS ""WISDOM"" IN FULL BLOCK CAPITALS. A lavish individual with wrists like tree trunks, Evil-Duck is, by his own admission, one of Torn's most humble individuals. Through his work with The Mayhem Boiz, ED generously nurtured other ""talents"" like THEFERRETT, DUDE, and JOEI as part of a philanthropic effort to uplift the mentally defective, proving through example that being nice costs nothing. Peace.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1394/large.png,TRUE
1395,D3vl's Keepsake,"They say it's better the devil you know, but in this case, you'd rather not! A hostile individual with a bad word for everyone, d3vl’s abrasive personality once led the game’s founder to openly admit he’d be relieved to see him leave. Yet, despite countless promises to quit, d3vl lingers in Torn like a fart in an elevator, much to the dismay of the developers who’ve been promised a day off when he finally leaves. In-game, he’s notorious for leading factions to great heights—only to pocket most of the rewards himself. We’re certain d3vl will have issues with this description, though truth be told, this is a man who could argue with his own reflection, even if it was trying its best to agree with him.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1395/large.png,TRUE
1396,MarlonBrando's Keepsake,"If nonsensical rambling were an art form, MarlonBrando would be prime Picasso. The undisputed king of waffle, Marlon is known more for his baffling forum presence than any in-game achievements. His signature style includes spamming gifs, endless poll options, and memes so bad they make you regret developing eyes. And yet, despite never posting anything of value, there's something oddly endearing about his unwavering commitment to this most unproductive of pastimes. MarlonBrando is truly one of a kind—so much so that when we tried to recreate him using ChatGPT, the chatbot committed suicide.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1396/large.png,TRUE
1397,Champion's Keepsake,"Feted by forum-dwellers, Champion is a prime example of what might happen if we let overmedicated twelve-year-olds play Torn. Long known for talking a better game than he plays, his massive stash of karma is a testament to Champ's talent for promotion, and this surely played a part in his impressive rise to the Monarch leadership team. In his early days, Champion infamously wielded a Gold AK despite having under 1 million battle stats—a situation akin to handing nuclear codes to a chimpanzee. He’s also the only person to have two Tornographies written about him, having infiltrated Z_junior's biography by posing as ""Junia's"" biggest fan.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1397/large.png,TRUE
1398,Sweeney_Todd's Keepsake,"Being listed as a reprobate suggests that Sweeney_Todd has taken a path darker than the Victorian cutthroat after which he's named. However, his only real crime is a cranky, dismissive forum presence, with posts easily identified by his overuse of ellipses and the notorious barfing face emoji. A true veteran, Sweeney_Todd joined Torn in March 2005, just a year after its inception, later becoming one of the core admin team. Nearly a third of his time here has been spent in his faction, The Pearl—formerly The Pie Shop—where he is often the only member, for reasons we can but presume. Let’s face it, Sweeney isn’t likely to ever leave this city until Chedburn unplugs the server; long after others have quit, the surly one will remain, shouting into the wind.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1398/large.png,TRUE
1399,YoungBlaze's Keepsake,"YoungBlaze’s genius lay in his ability to pull off the most underhanded, despicable scams—all while staying within Torn's rules, forcing the developers to implement changes to protect its citizens. Widely regarded as one of the city's first career scumbags, our modern con artists owe him a great debt, as they are still profiting from the very schemes he pioneered. It might seem like poetic justice for a scammer to have his own tactics stolen without credit, but the concept of justice hardly applies to someone like Blaze—especially since he vanished one day without ever returning the billions he swindled.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1399/large.png,TRUE
1400,IceColdCola's Keepsake,"IceColdCola is a rarity among reprobates, as he's actually recognized for his in-game achievements. Granted, those 'achievements' involve ripping off Torn's new players, but this is a crime game, after all! Cola's signature scam is the Vicoxan trick and its variations, where cheap items like Vicodin are sold at Xanax prices, hoping distracted buyers won't notice the difference. This tactic has earned ICC over 1,500 enemies, making him one of the most disliked players in Torn. He’s even gone so far as to block legitimate customers, including Torn's NPCs, from buying from his bazaar, ensuring there are always plenty of overpriced grenades, Vicodin, and mistletoe to go around—at an inflated price, of course.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1400/large.png,TRUE
1401,Z_junior's Keepsake,"One of the greatest war leaders this city has seen, Z_junior was arguably its most powerful citizen for a time, leading JFK to dominate the faction landscape during Torn's formative years. The tides of warfare may have turned since his glory days, but ""Junia"" remains an influential figure, with those close to him citing his wisdom and authority as the main reasons for his success. The Presidential Medal of Freedom was chosen as his keepsake due to his status as one of the most decorated players in Torn City history.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1401/large.png,TRUE
1402,BodyBagger's Keepsake,"The first player to reach level 100, and the only to hit 102 before being reverted, BodyBagger was Torn's undisputed strongest for many years. Some would argue he still is, only surpassed by those who have obsessively honed a single battle stat. So powerful was BB in his prime that he dominated even the legendary NPC Duke, using him as his personal ATM—until the rotund mafioso had his pockets sewn shut for protection. Yet, despite his fearsome reputation, BodyBagger's strength came from a decent place, driven by a desire to resist the bullying of an older player, Nota. And thus, from a desire to see good overcome evil, a legend of the game was born.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1402/large.png,TRUE
1403,King_Ace's Keepsake,"Back in the day, King_Ace was the closest Torn had to royalty, with his power matched only by his notorious ego. Better known these days as a leveling target, KA, also known as The_Legend, was one of the early game's strongmen, with forum scholars listing him as a founder of the 39th Street family. Eventually succumbing to the tempting delights of the Casino, King_Ace hasn't been seen in these parts for some time, having folded while still holding a strong hand.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1403/large.png,TRUE
1404,Deft's Keepsake,"Deft is one of Torn's modern stat beasts and a prolific SE user, but his trillion-dollar physique hasn't come at the expense of his altruism. Known for offering loans and donations to up-and-coming players, deft has made a significant impact on the next generation of Torn citizens. Despite his generosity, he continues to dominate numerous Hall of Fame categories, including respect earned, attacks made, and many other impressive metrics. Deft's keepsake, a shark, symbolizes his strength, power, determination, and adaptability, with his time in the Just Fer Assholes faction represented by the creature's star-shaped bunghole.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1404/large.png,TRUE
1405,RGiskard's Keepsake,"A leader by example, respected by both factionmates and foes, RGiskard was a stabilizing force in Relentless during turbulent times and a founding member of its successor, Monarch. His calm under pressure earned him the trust to lead wartime tactics and manage investment funds, cementing his well-rounded reputation. However, he is mightily unbalanced in one area—his battle stats. As the first to reach 1 quadrillion in strength, one player described him as 'half algorithm, half deity,' a title that perfectly matches his namesake, Giskard—the robot from Isaac Asimov's works who could read and influence minds, perhaps hinting at the true source of RGiskard's relentless success.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1405/large.png,TRUE
1406,Hank's Keepsake,"Hank's journey is unmatched in drama, success, and influence. A key figure in the evolution of Calculating into Relentless and then Monarch, he was the heart and soul of Torn's strongest faction family. His keen eye for patterns and stats helped countless new players with his power-leveling guide, but the WSSB scandal saw Hank's name tainted, unfairly, according to some, when his alleged use of a stock market exploit resulted in a $136 billion fine. Feeling betrayed by Torn and its community, Hank nearly walked away but now keeps a lower profile—unlike his crotch, which stands proud in his profile picture and is immortalized in his keepsake, the banana hammock.",,,Collectible,,0,0,0,250,https://www.torn.com/images/items/1406/large.png,TRUE
